Counties by U.S. State
======================

GA
--
(From https://en.wikipedia.org/wiki/List_of_counties_in_Georgia#cite_note-FIPS-9)

Appling;Baxley;31^46'31"N,82^20'51"W;31513,31515
Atkinson;Pearson;31^17'54"N,82^51'10"W;31642

Bacon;Alma;31^32'30"N,82^28'0"W;31510
Baker;Newton;31^19'0"N,84^20'22"W;31770,39870
Baldwin;Milledgeville;33^5'16"N,83^14'0"W;31061
Banks;Homer;31^2'13"N,82^45'5"W;31634
Barrow;Winder;33^59'47"N,83^43'15"W;30680
Bartow;Cartersville;34^11'N,84^48'W;30120,30121
Ben Hill;Fitzgerald;31^42'56"N,83^15'23"W;31750
Berrien;Nashville;31^12'25"N,83^14'48"w;31639
Bibb;Macon;32^50'5"N,83^39'6"W;31200-31299
Bleckley;Cochran;32^23'12"N,83^21'2"W;31014
Brantley;Nahunta;31^12'16"N,81^58'56"W;31553
Brooks;Quitman;30^47'5"N,83^33'39"W;31643
Bryan;Pembroke;32^8'24"N,81^37'25"W;31321
Bullock;Statesboro;32^26'43"N,81^46'45"W;30458-30461
Burke;Waynesboro;33^5'26"N,82^0'55"W;30830
Butts;Jackson;33^17'37"N,83^57'45"W;30233

Calhoun;Morgan;31^32'20"N,84^36'4"W;31766,39866
Camden;Woodbine;30^57'43"N,81^43'12"W;31569
Candler;Metter;32^23'47"N,82^3'45"W;30439
Carroll;Carrollton;33^34'51"N,85^4'36W;30112,30115-30119
Catoosa;Ringgold;34^55'2"N,85^5'57"W;30736
Charlton;Folkston;30^50'4"N,82^0'17"W;31537
Chatham;Savannah;32^1'N,81^7W;31401-31499
Chattahoochee;Cusseta;32^18'20"N,84^46'37"W;31805
Chattooga;Summerville;34^28'47"N,85^20'53"W;30747
Cherokee;Canton;34^13'38"N,84^29'41"W;30114,30115,30169
Clarke;Athens;33^57'N,83^23'W;30601-30609,30612
Clay;Fort Gaines;31^36'51"N,85^2'54"W;31751,39851
Clayton;Jonesboro;33^31'28"N,84^21'15"W;30236-30238
Clinch;Homerville;31^2'13"N,82^45'5"W;31634
Cobb;Merietta;33^57'12"N,84^32'26"W;30006-30008,30060-30069,30090
Coffee;Douglas;31^30'27"N,82^51'3"W;31533-31535
Colquitt;Moultrie;31^10'N,84^47'W;31768,31776,31788
Columbia;Appling;33^32'45"N,82^18'57"W;30802
Cook;Adel;31^8'18"N,83^25'33"W;31620
Coweta;Newnan;33^22'35"N,84^47'19"W;30263-30265,30271
Crawford;Knoxville;32^43'27"N,83^59'51"W;31050
Crisp;Cordele;31^57'51"N,83^46'38"W;31010,31015

Dade;Trenton;34^52'32"N,85^30'31"W;30752
Dawson;Dawsonville;34^25'N,84^7'W;30534
Decatur;Bainbridge;30^54'17"N,84^34'16"W;39817,39819
DeKalb;Decatur;33^46'17"N,84^17'52"W;30030,30032,30033,30307,30317
Dodge;Eastman;32^11'52"N,83^10'45"W;31023
Dooly;Vienna;32^6'N;83^48'W;31092
Dougherty;Albany;31^34'56"N,84^9'56"W;31701,31705,31707,31721,31763
Douglas;Douglasville;33^44'59"N;84^47'23"W;30122,30133-30135,30154

Early;Blakely;31^22'36N,84^56'2"W;31723,39823
Echols;Statenville;30^42'11"N,83^1'40"W;31648
Effingham;Springfield;32^22'6"N;81^18'37"W;31329
Elbert;Elberton;34^6'35"N,82^51'56"W,30635
Emanuel;Swainsboro;32^35'37"N,82^19'56"W;30401
Evans;Claxton;32^9'39"N,81^54'31"W;30414,30417

Fannin;Blue Ridge;34^52'6"N,84^19'16W;30513
Fayette;Fayetteville;33^26'52"N,84^27'42"W;30214,30215
Floyd;Rome;34^15'36"N,85^11'6"W;30149,30161,30165
Forsyth;Cumming;34^12'25"N,84^08'21"W;30028,30040,30041
Franklin;Carnesville;34^22'17"N,83^14'1"W;30521
Fulton;Atlanta;33^45'18"N,84^23'24"W,30060,30301-30332,30324-30334,30336-30350,30340,30353,30364

Gilmer;Ellijay;34^41'41"N,84^29'1"W,30540
Glascock;Gibson;33^13'58"N,82^35'34"W;30810
Glynn;Brunswick;31^8'59"N,81^29'29"W;31520-31525,31527,31561
